publication_number,title,assignee,filing_date,publication_date,patent_type
US-2024296276-A1,Optimizing data to improve latency ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-05,A1
US-2025131289-A1,Knowledge Graph Extraction ,"Microsoft Technology Licensing, Llc",2023-10-20,2025-04-24,A1
US-2024289545-A1,Automated plan generation and execution system for large language models ,"Microsoft Technology Licensing, Llc",2023-02-28,2024-08-29,A1
US-2025124022-A1,Generative artificial intelligence form builder ,"Microsoft Technology Licensing, Llc",2023-10-13,2025-04-17,A1
WO-2025096210-A1,Generative artificial intelligence output validation engine in an artificial intelligence system ,"Microsoft Technology Licensing, Llc",2023-11-05,2025-05-08,A1
US-12413542-B2,Electronic message system with artificial intelligence (AI)-generated personalized summarization ,"Microsoft Technology Licensing, Llc",2023-03-15,2025-09-09,B2
US-2025117578-A1,Compute management engine in an artificial intelligence system ,"Microsoft Technology Licemsing, LLC",2023-10-09,2025-04-10,A1
US-2025117195-A1,Ai-modified code recommendation in context of a developer tool ,"Microsoft Technology Licensing, Llc",2023-10-06,2025-04-10,A1
US-12524620-B2,Content generation for generative language models ,"Microsoft Technology Licensing, Llc",2023-03-01,2026-01-13,B2
US-12069019-B2,Topic overlap detection in messaging systems ,"Microsoft Technology Licensing, Llc",2022-03-02,2024-08-20,B2
US-12554626-B2,Quality assurance for digital technologies using large language models ,"Microsoft Technology Licensing, Llc",2023-04-03,2026-02-17,B2
WO-2024228850-A2,Artificial intelligence driven presenter ,"Microsoft Technology Licensing, Llc",2023-05-02,2024-11-07,A2
US-2024403623-A1,Generative artificial intelligence for embeddings used as inputs to machine learning models ,Microsoft Technology Licensing Llc,2023-05-30,2024-12-05,A1
US-2025077778-A1,Producing calibrated confidence estimates for open-ended answers by generative artificial intelligence models ,"Microsoft Technology Licensing, Llc",2023-09-06,2025-03-06,A1
US-2024144082-A1,Data Set Distance Model Validation ,"Microsoft Technology Licensing, Llc",2022-11-01,2024-05-02,A1
US-12547840-B2,Multi-stage processing for large language model to answer math questions more accurately ,"Microsoft Technology Licensing, Llc",2023-05-02,2026-02-10,B2
US-12579297-B2,Incorporating large language model prompts in graph query language ,"Microsoft Technology Licensing, Llc",2023-06-14,2026-03-17,B2
US-2024283820-A1,Automated machine learning using large language models ,"Microsoft Technology Licensing, Llc",2023-02-16,2024-08-22,A1
US-12321393-B2,LLM integrations for data visualization in spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-05-17,2025-06-03,B2
WO-2025029426-A1,Detecting and repairing reliability issues in operating systems and applications using a generative artificial intelligence system ,"Microsoft Technology Licensing, Llc",2023-07-31,2025-02-06,A1
WO-2023249764-A1,On-device artificial intelligence processing in-browser ,"Microsoft Technology Licensing, Llc",2022-06-21,2023-12-28,A1
US-2026073913-A1,Gestural prompting based on conversational artificial intelligence ,"Microsoft Technology Licensing, Llc",2022-07-26,2026-03-12,A1
US-12266034-B2,Techniques for abstract image generation from multimodal inputs with content appropriateness considerations ,"Microsoft Technology Licensing, Llc",2022-07-30,2025-04-01,B2
US-2024202460-A1,Interfacing with a skill store ,"Microsoft Technology Licensing, Llc",2022-12-19,2024-06-20,A1
WO-2025096229-A1,Multi-modal artificial intelligence root cause analysis ,"Microsoft Technology Licensing, Llc",2023-11-02,2025-05-08,A1
EP-4398157-A1,Training a machine learning model based on text and image data ,Microsoft Technology Licensing LLC,2023-01-06,2024-07-10,A1
US-2024419465-A1,Collaborative prompting objects for productivity application environments ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
US-2024412226-A1,System and method of evaluating responses provided by large language models ,"Microsoft Technology Licensing, Llc",2023-06-07,2024-12-12,A1
WO-2025029425-A1,Real-time artificial intelligence powered dynamic selection of template sections for adaptive content creation ,"Microsoft Technology Licensing, Llc",2023-07-31,2025-02-06,A1
WO-2024030245-A1,Intelligently customized and optimized home screen ,"Microsoft Technology Licensing, Llc",2022-08-05,2024-02-08,A1
US-2025356313-A1,Multi-agent task management guided by generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-05-20,2025-11-20,A1
US-2025238968-A1,Media synthesis using a generative artificial intelligence model that accepts partially decompressed data as input ,"Microsoft Technology Licensing, Llc",2024-01-24,2025-07-24,A1
US-2024296595-A1,Method and system of generating customized images ,"Microsoft Technology Licensing, Llc",2023-03-01,2024-09-05,A1
WO-2024005961-A1,Recommendations over meeting life cycle with user centric graphs and artificial intelligence ,"Microsoft Technology Licensing, Llc",2022-06-30,2024-01-04,A1
US-12518094-B2,Automated artificial intelligence driven readability scoring techniques ,"Microsoft Technology Licensing, Llc",2022-05-18,2026-01-06,B2
WO-2025106218-A1,System and method for proactively reducing hallucinations in generative artificial intelligence (ai) model responses ,"Microsoft Technology Licensing, Llc",2023-11-14,2025-05-22,A1
US-12566821-B2,Generative system for writing entity recommendations ,"Microsoft Technology Licensing, Llc",2023-04-24,2026-03-03,B2
US-2026089264-A1,Voicemail handling ,"Microsoft Technology Licensing, Llc",2023-06-22,2026-03-26,A1
US-2025077237-A1,Gai to app interface engine ,"Microsoft Technology Licensing, Llc",2023-08-31,2025-03-06,A1
WO-2024163115-A1,Transforming content across visual mediums using artificial intelligence and user generated media ,"Microsoft Technology Licensing, Llc",2023-01-30,2024-08-08,A1
US-12573201-B2,Signature-based object tracking in video feed ,"Microsoft Technology Licensing, Llc",2022-11-29,2026-03-10,B2
EP-4589442-A1,Synthetic data generation utilizing generative artifical intelligence and scalable data generation tools ,"Microsoft Technology Licensing, LLC",2024-01-19,2025-07-23,A1
US-12470556-B2,Generating captchas using generative imaging models ,"Microsoft Technology Licensing, Llc",2023-03-22,2025-11-11,B2
US-12223003-B2,Streaming of chat in SERP ,"Microsoft Technology Licensing, Llc",2023-01-31,2025-02-11,B2
US-12481823-B2,Predicate-guided preparation for LLM integrations in spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-03-10,2025-11-25,B2
US-12118296-B2,Collaborative coauthoring with artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-03-09,2024-10-15,B2
US-12481837-B2,Prompt configuration for LLM integrations in spreadsheet environments ,"Microsoft Technology Licensing, Llc",2023-03-09,2025-11-25,B2
WO-2025038247-A1,Artificial intelligence security engine in a security management system ,"Microsoft Technology Licensing, Llc",2023-08-17,2025-02-20,A1
WO-2025136544-A1,Workload management engine in an artificial intelligence system ,"Microsoft Technology Licensing, Llc",2023-12-20,2025-06-26,A1
US-12561294-B2,Software quality ticket enrichment ,"Microsoft Technology Licensing, Llc",2023-09-05,2026-02-24,B2
US-2024311576-A1,Visual collaboration system ai copilot for idea generation ,"Microsoft Technology Licensing, Llc",2023-03-17,2024-09-19,A1
EP-4713826-A1,Embedded attributes for modifying behaviors of generative ai systems ,"Microsoft Technology Licensing, LLC",2023-05-16,2026-03-25,A1
US-2025390517-A1,Digital content generation with in-prompt hallucination management for conversational agent ,"Microsoft Technology Licensing, Llc",2024-06-21,2025-12-25,A1
US-2025063101-A1,Analytics systems for measuring virality and network effects in multi-domain interactions ,"Microsoft Technology Licensing, Llc",2023-08-17,2025-02-20,A1
US-2025371317-A1,Dynamic agents with real-time alignment ,"Microsoft Technology Licensing, Llc",2024-05-30,2025-12-04,A1
US-2024257811-A1,System and Method for Providing Real-time Speech Recommendations During Verbal Communication ,"Nuance Communications, Inc.",2023-01-31,2024-08-01,A1
US-2025077590-A1,Extracting content from a resource for restructuring based on user instruction ,"Microsoft Technology Licensing, Llc",2023-09-05,2025-03-06,A1
TW-202450279-A,Transport layer network recovery for packet-switched computer networks ,Samsung,2023-06-09,2024-12-16,A
WO-2023200546-A1,Deep reinforcement learning for skill recommendation ,"Microsoft Technology Licensing, Llc",2022-04-13,2023-10-19,A1
US-2024056486-A1,Resource policy adjustment based on data characterization ,"Microsoft Technology Licensing, Llc",2022-08-10,2024-02-15,A1
US-2025139138-A1,Hybrid ai architecture for natural language query ,"Microsoft Technology Licensing, Llc",2023-10-30,2025-05-01,A1
WO-2024263449-A1,Integrating multiple slides for a presentation using a generated common background ,"Microsoft Technology Licensing, Llc",2023-06-20,2024-12-26,A1
US-11720168-B1,Inferred body movement using wearable RF antennas ,"Microsoft Technology Licensing, Llc",2022-05-25,2023-08-08,B1
US-2025337653-A1,Artificial intelligence techniques for connections networking ,"Microsoft Technology Licensing, Llc",2024-04-29,2025-10-30,A1
US-12230255-B2,Intelligent display of auditory world experiences ,"Microsoft Technology Licensing, Llc",2022-04-21,2025-02-18,B2
US-2025168186-A1,Cybersecurity Engine in a Security Management System ,"Microsoft Technology Licensing, Llc",2023-11-17,2025-05-22,A1
WO-2025096123-A1,Llm-powered threat modeling ,"Microsoft Technology Licensing, Llc",2023-10-30,2025-05-08,A1
US-2025053799-A1,Context-aware and dynamic visualizations in applications ,"Microsoft Technology Licensing, Llc",2023-08-07,2025-02-13,A1
US-2024330796-A1,Question generation for groups ,"Microsoft Technology Licensing, Llc",2023-04-03,2024-10-03,A1
US-12468898-B2,Mathematical reasoning using large language models ,"Microsoft Technology Licensing, Llc",2023-03-02,2025-11-11,B2
US-2024419922-A1,Artificial intelligence (ai) based interface system ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
US-2024363139-A1,Audio event detection with window-based prediction ,"Microsoft Technology Licensing, Llc",2022-01-06,2024-10-31,A1
US-2024296275-A1,Guardrails for efficient processing and error prevention in generating suggested messages ,"Microsoft Technology Licensing, Llc",2023-03-03,2024-09-05,A1
US-2025094506-A1,Search summary generation based on searcher characteristics ,"Microsoft Technology Licensing, Llc",2023-09-18,2025-03-20,A1
US-2026089190-A1,Defending large generative models from prompt injection attacks ,"Microsoft Technology Licensing, Llc",2023-11-28,2026-03-26,A1
EP-4673831-A1,Debugger script embedded in debuggable program source code ,"Microsoft Technology Licensing, LLC",2023-03-02,2026-01-07,A1
US-2023281730-A1,Neural network for model-blended time series forecast ,"Microsoft Technology Licensing, Llc",2022-03-02,2023-09-07,A1
US-2024428275-A1,Foundation model integrations for personalized engagement with software applications ,"Microsoft Technology Licensing, Llc",2023-06-22,2024-12-26,A1
WO-2024163681-A1,Providing ai-generated content ,"Microsoft Technology Licensing, Llc",2023-02-01,2024-08-08,A1
US-2024378425-A1,Generative collaborative message suggestions ,"Microsoft Technology Licensing, Llc",2023-05-11,2024-11-14,A1
WO-2025080408-A1,Artificial intelligence inferencing via delta models ,"Microsoft Technology Licensing, Llc",2023-10-09,2025-04-17,A1
WO-2024182250-A1,Mathematical reasoning using large language models ,"Microsoft Technology Licensing, Llc",2023-03-02,2024-09-06,A1
US-2025363100-A1,Generation of synthetic data for query generation ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-11-27,A1
US-12380155-B2,User activity history experiences powered by a machine learning model ,"Microsoft Technology Licensing, Llc",2023-06-29,2025-08-05,B2
WO-2025128248-A1,Unified multichannel communication platform ,"Microsoft Technology Licensing, Llc",2023-12-12,2025-06-19,A1
WO-2025175415-A1,"System and method for generating incident action recommendations for incident diagnosis, mitigation, and resolution using generative artificial intelligence models ","Microsoft Technology Licensing, Llc, Yao, Zhenhua",2024-02-19,2025-08-28,A1
WO-2025165494-A1,Enhanced wireless communication handover management system ,"Microsoft Technology Licensing, Llc",2024-01-30,2025-08-07,A1
CN-119836623-A,Load testing and performance benchmarking for large language models using cloud computing platforms ,Samsung,2022-10-27,2025-04-15,A
CN-121359156-A,Generate diverse message content suggestions ,Samsung,2023-08-04,2026-01-16,A
US-2025103471-A1,Automation of software test case generation and implementation ,"Microsoft Technology Licensing, Llc",2023-09-21,2025-03-27,A1
WO-2025049032-A1,Pre-approval-based machine configuration ,"Microsoft Technology Licensing, Llc",2023-09-01,2025-03-06,A1
WO-2024249164-A1,Generative artificial intelligence for embeddings used as inputs to machine learning models ,"Microsoft Technology Licensing, Llc",2023-05-30,2024-12-05,A1
WO-2024238139-A1,Method and system of generating customized three-dimensional images ,"Microsoft Technology Licensing, Llc",2023-05-18,2024-11-21,A1
US-2025190769-A1,Interface for generating documents with generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-12-11,2025-06-12,A1
US-2025232158-A1,System and Method for Automated Incident Triaging in Cloud Computing Environments using Trained Generative Artificial Intelligence Models ,"Microsoft Technology Licensing, Llc",2024-01-17,2025-07-17,A1
US-2025148400-A1,Administrative management of user activity data using generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-11-06,2025-05-08,A1
US-12242989-B2,Centralized skills management via skills inference within context of global skills graph ,"Microsoft Technology Licensing, Llc.",2022-03-16,2025-03-04,B2
US-2025272538-A1,"Control of input, output and processing of artificial intelligence models ","Microsoft Technology Licensing, Llc",2024-02-22,2025-08-28,A1
US-2024411527-A1,Inline conversation with artificial intelligence within code editor user interface ,"Microsoft Technology Licensing, Llc",2023-06-09,2024-12-12,A1
US-2024412040-A1,Segmented text stream processing with coordinated data moderation graph instantiation ,"Microsoft Technology Licensing, Llc",2023-06-12,2024-12-12,A1
US-12373427-B2,Dynamic batching of prompt queries ,"Microsoft Technology Licensing, Llc",2023-06-12,2025-07-29,B2
WO-2025034468-A1,Generating diverse message content suggestions ,"Microsoft Technology Licensing, Llc",2023-08-04,2025-02-13,A1
US-2025371053-A1,Generating and implementing context profiles in processing queries using foundation models ,"Microsoft Technology Licensing, Llc",2023-06-15,2025-12-04,A1
CN-118541702-A,Analog or hybrid MAC neural networks for reduced power consumption ,Samsung,2022-01-31,2024-08-23,A
US-2024385942-A1,Code scanning and operation control ,"Microsoft Technology Licensing, Llc",2023-05-15,2024-11-21,A1
US-2024419575-A1,Automated code scanning for pre-emptive issue detection and resolution ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
WO-2024258686-A1,System and method for token-based graphics processing unit (gpu) utilization ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
US-2025373662-A1,Matching regulatory compliance and security recommendations using artificial intelligence ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
US-2025272362-A1,Protection-level based mechanism for securing artificial intelligence models ,"Microsoft Technology Licensing, Llc",2024-02-22,2025-08-28,A1
CN-120457430-A,Generate a security report ,Samsung,2023-01-27,2025-08-08,A
EP-4589466-A1,Language model hallucination detection ,"Microsoft Technology Licensing, LLC",2024-01-21,2025-07-23,A1
US-12105747-B2,Automatic content generation ,"Microsoft Technology Licensing, Llc",2022-05-30,2024-10-01,B2
WO-2025106207-A1,Attack path discovery engine in a security management system ,"Microsoft Technology Licensing, Llc",2023-11-13,2025-05-22,A1
EP-4533450-A1,System and method for secure transcription generation ,"Microsoft Technology Licensing, LLC",2022-06-03,2025-04-09,A1
US-2025111202-A1,Dynamic prompt creation for large language models ,"Microsoft Technology Licensing, Llc",2023-09-29,2025-04-03,A1
US-2025165721-A1,Guided dynamic construction of large language model (llm) prompts ,"Microsoft Technology Licensing, Llc",2023-11-20,2025-05-22,A1
EP-4597450-A1,Video scene describer ,"Microsoft Technology Licensing, LLC",2024-01-31,2025-08-06,A1
US-2023395063-A1,System and Method for Secure Transcription Generation ,"Nuance Communications, Inc.",2022-06-03,2023-12-07,A1
US-2024273282-A1,Generative collaborative publishing system ,"Microsoft Technology Licensing, Llc",2023-02-15,2024-08-15,A1
US-2026030056-A1,Automatic selection of computer hardware configuration for data processing pipelines ,"Microsoft Technology Licensing, Llc",2022-06-21,2026-01-29,A1
US-2026057018-A1,Generating narrative query responses utilizing generative language models from search-based autosuggest queries ,"Microsoft Technology Licensing, Llc",2023-06-12,2026-02-26,A1
US-2025138816-A1,Refactoring non-compliant code into compliant code ,"Microsoft Technology Licensing, Llc",2023-10-26,2025-05-01,A1
WO-2025128247-A1,Prompt auto-generation for ai assistant based on screen understanding ,"Microsoft Technology Licensing, Llc",2023-12-13,2025-06-19,A1
EP-4710535-A1,Generative collaborative message suggestions ,"Microsoft Technology Licensing, LLC",2023-05-11,2026-03-18,A1
US-2024330739-A1,Machine learning framework for taxonomy graph construction ,"Microsoft Technology Licensing, Llc",2023-03-27,2024-10-03,A1
EP-4664318-A1,Function calling to enable muti-source data retrieval in generative artificial intelligence systems ,"Microsoft Technology Licensing, LLC",2024-06-14,2025-12-17,A1
US-12561348-B2,Semantic-tree-based AI content management platform ,"Microsoft Technology Licensing, Llc",2024-05-29,2026-02-24,B2
WO-2024258756-A1,Proactive execution system ,"Microsoft Technology Licensing, Llc",2023-06-14,2024-12-19,A1
US-2024338532-A1,Discovering and applying descriptive labels to unstructured data ,"Microsoft Technology Licensing, Llc",2023-04-05,2024-10-10,A1
US-2025291868-A1,Generative search engine results documents ,"Microsoft Technology Licensing, Llc",2023-12-12,2025-09-18,A1
EP-4544464-A1,Automatic thresholding for classification models ,"Microsoft Technology Licensing, LLC",2022-06-24,2025-04-30,A1
US-2024289686-A1,Directed management of interactive elements in an interactive environment utilizing machine learning ,"Microsoft Technology Licensing, Llc",2023-02-28,2024-08-29,A1
WO-2024076446-A1,Computerized question answering based on evidence chains ,"Microsoft Technology Licensing, Llc",2022-10-05,2024-04-11,A1
US-2024420278-A1,Binocular display misalignment correction ,"Microsoft Technology Licensing, Llc",2023-06-15,2024-12-19,A1
US-2023384914-A1,Meeting accessibility staging system ,"Microsoft Technology Licensing, Llc",2022-05-28,2023-11-30,A1
US-2025156463-A1,Recommendation generation using user input ,"Microsoft Technology Licensing, Llc",2023-11-09,2025-05-15,A1
US-2026064760-A1,Dynamic depth document retrieval for enterprise language model systems ,"Microsoft Technology Licensing, Llc",2023-12-19,2026-03-05,A1
CN-120752641-A,Dynamic Construction of Large Language Model Hints ,Google,2023-04-13,2025-10-03,A
WO-2024063916-A1,Generating a gallery view from an area view ,"Microsoft Technology Licensing, Llc",2022-09-22,2024-03-28,A1
WO-2023177440-A1,Centralized skills management via standardized skill tagging across tenant resources ,"Microsoft Technology Licensing, Llc",2022-03-16,2023-09-21,A1
US-2024303568-A1,Artificial Intelligence-Powered Aggregation of Project-Related Collateral ,"Microsoft Technology Licensing, Llc",2023-03-09,2024-09-12,A1
WO-2024259395-A1,Auto-tuning reading passages using generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-06-16,2024-12-19,A1
US-2024321133-A1,Auto-generated reading passages using generative artificial intelligence ,"Microsoft Technology Licensing, Llc",2023-03-21,2024-09-26,A1
WO-2025144508-A1,Content-aware artificial intelligence generated frames for digital images ,"Microsoft Technology Licensing, Llc",2023-12-26,2025-07-03,A1
US-12021868-B2,Securing authentication flows using a decentralized identifier ,"Microsoft Technology Licensing, Llc",2022-03-31,2024-06-25,B2
US-12487819-B2,AI-driven pull request summarization ,"Microsoft Technology Licensing, Llc",2023-07-31,2025-12-02,B2
US-2024256948-A1,Intelligent orchestration of multimodal components ,"Microsoft Technology Licensing, Llc",2023-01-27,2024-08-01,A1
US-2024330446-A1,Finding semantically related security information ,"Microsoft Technology Licensing, Llc",2023-03-27,2024-10-03,A1
WO-2025188382-A2,Security threat mitigation ,"Microsoft Technology Licensing, Llc",2023-12-21,2025-09-12,A2
US-2024169256-A1,Secure machine learning model training using encryption ,"Microsoft Technology Licensing, Llc",2022-11-18,2024-05-23,A1
WO-2024182173-A1,Automated plan generation and execution system for large language models ,"Microsoft Technology Licensing, Llc",2023-02-28,2024-09-06,A1
EP-4540816-A1,System and method for secure data augmentation for speech processing systems ,"Microsoft Technology Licensing, LLC",2022-06-15,2025-04-23,A1
US-12190888-B2,System and method for secure training of speech processing systems ,"Microsoft Technology Licensing, Llc",2022-06-15,2025-01-07,B2
WO-2023140902-A1,Checkpoint state storage for machine-learning model training ,"Microsoft Technology Licensing, Llc.",2022-01-18,2023-07-27,A1
US-2025094718-A1,Domain-specific named entity extraction and mapping ,"Microsoft Technology Licensing, Llc",2023-09-20,2025-03-20,A1
US-2025272314-A1,Skill-centric entity embedding and ranking ,"Microsoft Technology Licensing, Llc",2024-02-28,2025-08-28,A1
US-2025086471-A1,Generating small language model via two-phase training ,"Microsoft Technology Licensing, Llc",2023-09-11,2025-03-13,A1
WO-2025106210-A1,Determining anomalous tool invocations by applications using large generative models ,"Microsoft Technology Licensing, Llc",2023-11-15,2025-05-22,A1
US-2025103619-A1,Modeling expertise based on unstructured evidence ,"Microsoft Technology Licensing, Llc",2023-09-27,2025-03-27,A1
US-2025078343-A1,Control font generation consistency ,"Microsoft Technology Licensing, Llc",2023-08-29,2025-03-06,A1
US-2024394483-A1,Insights service for large language model prompting ,"Microsoft Technology Licensing, Llc",2023-05-24,2024-11-28,A1
US-2024202518-A1,Privacy-preserving generation of synthesized training data ,"Microsoft Technology Licensing, Llc",2022-12-19,2024-06-20,A1
US-2026050427-A1,Mapping pipeline run sources and targets in cloud infrastructures ,"Microsoft Technology Licensing, Llc",2023-05-11,2026-02-19,A1
US-2025390586-A1,Vulnerability reduction for syntactically incomplete code ,"Microsoft Technology Licensing, Llc",2022-11-08,2025-12-25,A1
EP-4532057-A1,Importing agent personalization data to possess in-game non-player characters ,"Microsoft Technology Licensing, LLC",2022-05-24,2025-04-09,A1
US-2025088538-A1,Data security grouping and ranking ,"Microsoft Technology Licensing, Llc",2023-09-11,2025-03-13,A1
US-2025148220-A1,Interpreting large language models ,"Microsoft Technology Licensing, Llc",2023-11-03,2025-05-08,A1
CN-118922800-A,Pose prediction for articulated objects ,Google,2022-03-04,2024-11-08,A
WO-2023230083-A1,Leveraging machine learning models to implement accessibility features during gameplay ,"Microsoft Technology Licensing, Llc",2022-05-24,2023-11-30,A1
CN-119234212-A,Address translation prefetch for input/output devices ,Samsung,2022-06-09,2024-12-31,A
EP-4508604-A1,Concurrent human pose estimates for virtual representation ,"Microsoft Technology Licensing, LLC",2022-04-11,2025-02-19,A1
EP-4616303-A1,Machine learning training duration control ,"Microsoft Technology Licensing, LLC",2022-11-09,2025-09-17,A1
US-12263547-B2,Computerized demanufacturing system ,"Microsoft Technology Licensing, Llc",2023-05-22,2025-04-01,B2
